id,project_id,description,category,quantity,unit,unit_price_usd,total_usd,created_at,provider,date
032b413a-f580-4d0a-bcf2-ddf8495512cc,68703eee-e419-478d-836a-bdbf63c355ad,4 BOLSAS DE ESCOMBRO,materials,4,,0.94,3.76,2026-04-30 18:19:42.289639+00,FERREVEN,2026-04-27
0d130947-8881-469a-8438-2a065cbd06d0,87bb3bee-1e1c-44ce-b237-be60516e3bfe,2 LAMINAS DE FIBROCEMENTO,materials,2,,42,84,2026-04-30 18:09:18.149181+00,PAINT SHOP,2026-04-20
20694da8-187a-4d06-9596-6c6504bf44fc,87bb3bee-1e1c-44ce-b237-be60516e3bfe,4 MANTOS EDIL 3.2mm,materials,4,,43,172,2026-04-30 18:08:32.885684+00,PAINT SHOP,2026-04-20
2a3be3ec-9a19-4770-9791-2b0d95449190,87bb3bee-1e1c-44ce-b237-be60516e3bfe,4 BOLSAS DE ESCROMBRO,materials,4,,0.94,3.76,2026-04-30 18:15:17.960819+00,FERREVEN,2026-04-24
41623092-da16-4ef6-9571-8599cca372f0,87bb3bee-1e1c-44ce-b237-be60516e3bfe,1 CUÑETE DE MANTOFLEX / BROCHA / RODILLO,materials,1,,85,85,2026-04-30 18:17:59.324284+00,PAINT SHOP,2026-04-24
54c796ba-8c57-4752-9200-764dd56be0d5,87bb3bee-1e1c-44ce-b237-be60516e3bfe,1 DISCO DE MADERA,materials,1,,10,10,2026-04-30 18:07:43.137268+00,FERREVEN,2026-04-02
6b4bdfa2-c6ca-4fad-b64a-4c83eea9116e,68703eee-e419-478d-836a-bdbf63c355ad,6 CEMENTO,materials,6,,11,66,2026-04-30 18:06:54.863892+00,GOCHO,2026-04-17
7ae17064-919e-42ed-89b4-266428a5d3a2,68703eee-e419-478d-836a-bdbf63c355ad,4 BOLSAS DE ESCOMBRO,materials,4,,0.94,3.76,2026-04-30 18:19:08.858665+00,FERREVEN,2026-04-27
8ef1c2a2-8eb1-4e4a-89ce-737423c5a5ef,87bb3bee-1e1c-44ce-b237-be60516e3bfe,1 m3 DE ARENA LAVADA,materials,1,,35,35,2026-04-30 18:05:37.686519+00,GOCHO,2026-04-17
948a5725-9e72-4cde-9780-364e62166c86,87bb3bee-1e1c-44ce-b237-be60516e3bfe,TORNILLOS AUTOPERFORANTES,materials,1,,3,3,2026-04-30 18:10:14.461223+00,PAINT SHOP,2026-04-20
987a4b93-30de-4d1a-9fc6-06b7e6ceaa7c,87bb3bee-1e1c-44ce-b237-be60516e3bfe,RECARGA DE LA BOMBONA,materials,1,,13.98,13.98,2026-04-30 18:14:22.039456+00,CAMION DEL GAS,2026-04-20
d637dbf7-48f5-412d-b342-92882d98b230,87bb3bee-1e1c-44ce-b237-be60516e3bfe,ABONO AYUDANTE,labor,1,,47.68,47.68,2026-04-30 18:16:01.386014+00,JAIRO,2026-04-24
df5bc02e-b980-404b-802e-4263602b39c7,87bb3bee-1e1c-44ce-b237-be60516e3bfe,"TORNILLOS, LISTONES, TEIPE, CEMENTO PLASTICO.",materials,1,,28.08,28.08,2026-04-30 18:12:39.513799+00,EPA,2026-04-21
f6d4211e-0a66-495b-8dde-f94f5525c0e6,68703eee-e419-478d-836a-bdbf63c355ad,PAGO MANO DE OBRA CIERRE TRAGALUZ: ESTRUCTURA / VACIADO,labor,1,,160,160,2026-04-30 18:20:38.631045+00,EDUARDO,2026-04-22
ff64523b-5b3b-4346-85df-1e467eb47862,87bb3bee-1e1c-44ce-b237-be60516e3bfe,FLETE PAINT SHOP /  EL HATILLO,other,1,,30,30,2026-04-30 18:11:24.764638+00,JONNATHAN,2026-04-20
